ID,Movie Name,Rating,Genre,Votes
1,The Shawshank Redemption,9.3,Drama,2752419
2,The Godfather,9.2,"Crime, Drama",1914751
3,Ramayana: The Legend of Prince Rama,9.2,"Animation, Action, Adventure",10108
4,The Chaos Class,9.2,"Comedy, Drama",41785
5,Daman,9.1,"Adventure, Drama",13303
6,Spider-Man: Across the Spider-Verse,9,"Animation, Action, Adventure",122030
7,The Dark Knight,9,"Action, Crime, Drama",2725188
8,Schindler's List,9,"Biography, Drama, History",1387831
9,12 Angry Men,9,"Crime, Drama",815205
10,The Godfather Part II,9,"Crime, Drama",1303858
11,The Lord of the Rings: The Return of the King,9,"Action, Adventure, Drama",1890885
12,Mirror Game,9,"Crime, Mystery, Thriller",27572
13,Pulp Fiction,8.9,"Crime, Drama",2114233
14,Demon Slayer: Kimetsu no Yaiba - Tsuzumi Mansion Arc,8.9,"Animation, Action, Fantasy",18738
15,Tosun Pasa,8.9,Comedy,23933
16,The Chaos Class Failed the Class,8.9,Comedy,23976
17,Inception,8.8,"Action, Adventure, Sci-Fi",2418751
18,Fight Club,8.8,Drama,2191729
19,The Lord of the Rings: The Fellowship of the Ring,8.8,"Action, Adventure, Drama",1919503
20,Forrest Gump,8.8,"Drama, Romance",2141162
21,"The Good, the Bad and the Ugly",8.8,"Adventure, Western",778779
22,The Lord of the Rings: The Two Towers,8.8,"Action, Adventure, Drama",1706611
23,Jai Bhim,8.8,"Crime, Drama, Mystery",207165
24,Kill Bill: The Whole Bloody Affair,8.8,"Action, Crime, Thriller",14223
25,777 Charlie,8.8,"Adventure, Comedy, Drama",35037
26,Rocketry: The Nambi Effect,8.8,"Biography, Drama",53692
27,The Legend of Maula Jatt,8.8,"Action, Drama, Fantasy",10038
28,Demon Slayer: Kimetsu no Yaiba - Mt. Natagumo Arc,8.8,"Animation, Action, Fantasy",13597
29,Balkan Spy,8.8,"Comedy, Drama",11957
30,#Home,8.8,Drama,14107
31,The Marathon Family,8.8,"Comedy, Drama",16409
32,Manichithrathazhu,8.8,"Comedy, Horror, Mystery",11419
33,Süt Kardesler,8.8,"Comedy, Family, Mystery",20597
34,The Chaos Class Is Waking Up,8.8,"Adventure, Comedy",20277
35,Interstellar,8.7,"Adventure, Drama, Sci-Fi",1918106
36,Goodfellas,8.7,"Biography, Crime, Drama",1194665
37,The Matrix,8.7,"Action, Sci-Fi",1962091
38,One Flew Over the Cuckoo's Nest,8.7,Drama,1030520
39,Star Wars: Episode V - The Empire Strikes Back,8.7,"Action, Adventure, Fantasy",1323924
40,The Kashmir Files,8.7,Drama,569347
41,Soorarai Pottru,8.7,"Action, Drama",119638
42,Who's Singin' Over There?,8.7,"Adventure, Comedy, Drama",16003
43,Pariyerum Perumal,8.7,Drama,16835
44,Toma,8.7,"Biography, Drama, Music",11518
45,"Saban, Son of Saban",8.7,"Comedy, Crime, Mystery",18213
46,Kibar Feyzo,8.7,"Comedy, Drama",16799
47,The Broken Landlord,8.7,"Comedy, Drama",15800
48,Peranbu,8.7,Drama,15361
49,Happy Days,8.7,"Comedy, Drama, Family",11566
50,The Green Mile,8.6,"Crime, Drama, Fantasy",1338350
51,Se7en,8.6,"Crime, Drama, Mystery",1701812
52,Terminator 2: Judgment Day,8.6,"Action, Sci-Fi",1125509
53,Saving Private Ryan,8.6,"Drama, War",1426418
54,The Silence of the Lambs,8.6,"Crime, Drama, Thriller",1470648
55,Star Wars: Episode IV - A New Hope,8.6,"Action, Adventure, Fantasy",1396236
56,Spirited Away,8.6,"Animation, Adventure, Family",792424
57,City of God,8.6,"Crime, Drama",772238
58,Life Is Beautiful,8.6,"Comedy, Drama, Romance",712428
59,Seven Samurai,8.6,"Action, Drama",353429
60,It's a Wonderful Life,8.6,"Drama, Family, Fantasy",472974
